id,date,git_commit,split,text_model,vision_model,vlm,fusion,prompt_version,finetuning,metric,score,delta,runtime,vram,container_size,notes
text_oof_v2,2026-08-11,working-tree,entity_group_seed42,rule_tfidf,none,none,category_logreg,rules_v2,none,official_mean_positive_f1,0.756857,,~2m,cpu,,thresholds selected on 5-fold group OOF; holdout untouched
text_oof_v3_rules,2026-08-11,working-tree,entity_group_seed42,expanded_rule_tfidf,none,none,category_logreg,rules_v3,none,official_mean_positive_f1,0.756857,0.000000,~4m,cpu,,rejected; same holdout and flammable OOF 0.5263 vs 0.5294
qwen3vl_joint_v1,2026-08-11,working-tree,entity_group_seed42,task_aware_text,Qwen/Qwen3-VL-Embedding-2B,Qwen3VL_mean_pool,category_logreg,prompt_v1,frozen,official_mean_positive_f1,0.663359,-0.093499,43s_train,29.3GB,,joint embedding alone; rejected
qwen3vl_normalized_blend_v2,2026-08-11,working-tree,entity_group_seed42,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,Qwen3VL_mean_pool,category_oof_blend,prompt_v1,frozen,official_mean_positive_f1,0.757864,0.001007,42s_train,29.3GB,,accepted; 15% normalized VLM BAD and 10% raw VLM flammable
probability_stacker_v1,2026-08-11,working-tree,entity_group_seed42,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,Qwen3VL_mean_pool,logistic_stacker,prompt_v1,frozen,official_mean_positive_f1,0.740101,-0.016756,4s,cpu,,rejected on fixed holdout
qwen3vl_reference_blend_v8,2026-08-11,working-tree,entity_group_seed42,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,SentenceTransformer_last_token,category_oof_blend,english_reference_v2,frozen,official_mean_positive_f1,0.788047,0.030183,~20s_10row_smoke,~10.4GB,,accepted on fixed holdout after full image corpus repair
qwen3vl_reference_full_oof_v9,2026-08-11,working-tree,full_entity_groups,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,SentenceTransformer_last_token,category_oof_blend,english_reference_v2,frozen,official_mean_positive_f1_oof,0.771307,,full_data_refit,~10.4GB,,primary submission; per-category OOF 0.934505 and 0.608108
qwen3vl_reference_text_v11,2026-08-11,working-tree,entity_group_seed42,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,text_last_token,category_oof_blend,english_reference_v2,frozen,official_mean_positive_f1,0.781309,0.023445,full_cache,~10.4GB,,rejected; below corrected joint
qwen3vl_reference_image_v12,2026-08-11,working-tree,entity_group_seed42,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,image_last_token,category_oof_blend,english_reference_v2,frozen,official_mean_positive_f1,0.752093,-0.005771,full_cache,~10.4GB,,rejected
qwen3vl_reference_concat_v13,2026-08-11,working-tree,entity_group_seed42,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,text_image_concat_4096,category_oof_blend,english_reference_v2,frozen,official_mean_positive_f1,0.787115,0.029251,full_cache,~10.4GB,,rejected; no gain over joint
qwen3vl_reference_mlp_ablation,2026-08-11,working-tree,entity_group_seed42,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,joint_last_token_mlp128,category_oof_blend,english_reference_v2,frozen,official_mean_positive_f1,0.790494,0.032630,ablation,~10.4GB,,not packaged; marginal seed-sensitive gain
qwen3vl_reference_full_oof_v9_public,2026-08-11,working-tree,full_entity_groups,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,joint_last_token,category_oof_blend,english_reference_v2,frozen,public_macro_f1,0.745090,-0.003554,official_runtime,~10.4GB,,rejected; flammable threshold shifted from honest 0.331 to 0.630
qwen3vl_reference_v10_public,2026-08-11,working-tree,full_refit_frozen_holdout_decisions,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,joint_last_token,category_oof_blend,english_reference_v2,frozen,public_macro_f1,0.793388,,official_runtime,~10.4GB,,accepted; full refit with v8 decisions
qwen3vl_knn_v19_public,2026-08-11,working-tree,full_refit_repeated_group_oof,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,joint_last_token,base_plus_max_cosine_prototypes,english_reference_v2,frozen,public_macro_f1,0.808892,0.015504,official_runtime,~10.4GB,27MB,accepted; full flammable reference bank
qwen3vl_v27_outer,2026-08-11,working-tree,outer_stratified_group_seed2026,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,joint_last_token,confident_nearest_exact_title_rules,english_reference_v2,frozen,outer_macro_f1,0.852275,0.050324,official_runtime,~10.4GB,27MB,candidate; BAD 0.929681 and flammable 0.774869; cosine>=0.99 made zero outer errors; VQA and RBF rejected
qwen3vl_v27_public,2026-08-12,working-tree,full_refit,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,joint_last_token,confident_nearest_exact_title_rules,english_reference_v2,frozen,public_macro_f1,0.800964,-0.007928,official_runtime,~10.4GB,27MB,rejected; proxy exact-title and sparse manual-rule gains did not transfer; rollback to v19
qwen35_retrieval_v30,2026-08-12,working-tree,repeated_outer_group_oof,Qwen/Qwen3.5-4B,Qwen/Qwen3-VL-Embedding-2B,retrieval_four_shot,base_plus_vqa,retrieval_v1,frozen,flammable_average_precision,0.094000,,partial_cache,~12GB,,rejected; leakage-safe retrieval prompting did not discriminate the rare class
qwen35_lora_v31,2026-08-12,working-tree,entity_group_seed42,Qwen/Qwen3.5-4B,Qwen/Qwen3-VL-Embedding-2B,multimodal_lora,generative_binary,rule_v1,lora_r8,flammable_valid_f1,0.074212,,43m,~62GB,24MB,rejected; near-zero train loss and severe holdout overfit
qwen35_hidden_v32,2026-08-12,working-tree,repeated_group_oof,Qwen/Qwen3.5-4B,Qwen/Qwen3-VL-Embedding-2B,last_hidden_linear,logit_blend,rule_v1,frozen,flammable_outer_f1,0.676140,0.001919,full_cache,~12GB,,rejected; gain too small for a second inference model
qwen3vl_pca_metric_v33,2026-08-12,working-tree,repeated_group_oof,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,pca_common_component,base_plus_knn,english_reference_v2,frozen,flammable_outer_f1,0.641400,-0.032821,fast,~10.4GB,,rejected; PCA component removal did not transfer after OOF parameter selection
qwen3vl_standardized_head_v34,2026-08-12,working-tree,repeated_group_oof,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,raw_embedding_linear,logit_blend,english_reference_v2,frozen,flammable_outer_f1,0.681818,0.007597,fast,~10.4GB,28MB,candidate only; inherited v19 threshold preserved but expected public gain is small
qwen3vl_rbf_head_v37,2026-08-12,working-tree,group_oof_plus_outer,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,rbf_svc,logit_blend,english_reference_v2,frozen,flammable_outer_f1,0.674221,0.000000,~8m,~10.4GB,,rejected; nonlinear head did not change decisions and reduced AP
qwen3vl_ruleaware_prompt_v38,2026-08-12,working-tree,partial_outer_pairwise,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,ruleaware_last_token,knn,explicit_rules_v1,frozen,flammable_partial_ap,0.438324,-0.019225,partial_7936,~34GB,,rejected early; explicit shared rule context collapsed product discrimination versus old AP 0.457549
field_lexical_v39,2026-08-12,working-tree,group_oof_plus_outer,title_tfidf,Qwen/Qwen3-VL-Embedding-2B,joint_last_token,logit_blend,title_v1,frozen,flammable_outer_f1,0.670554,-0.003667,~9m,cpu,,rejected; outer AP improved slightly but thresholded F1 fell
qwen3vl_lora_hard_v43,2026-08-12,working-tree,outer_fold3_untouched,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,multimodal_lora_r8,hard_group_sampling,english_reference_v2,lora,flammable_fold3_ap,0.209187,-0.154130,~4m,~7GB,~13MB,rejected; hard-sampled LoRA amplified train-family shift versus v19 AP 0.363317
qwen3vl_regex_only_v44,2026-08-12,working-tree,outer_stratified_group_seed2026,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,joint_last_token,v19_plus_five_high_precision_regex,english_reference_v2,frozen,flammable_outer_f1,0.768421,0.094200,official_runtime,~10.4GB,27MB,candidate; 39/39 matched rows positive; exact-title and nearest hard overrides removed
qwen3vl_standardized_regex_v45,2026-08-12,working-tree,outer_stratified_group_seed2026,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,joint_last_token,v19_plus_standardized_head_plus_five_regex,english_reference_v2,frozen,flammable_outer_f1,0.775726,0.101505,official_runtime,~10.4GB,28MB,primary candidate; regex precision 39/39; exact-title and nearest hard overrides removed; exact ZIP A100 smoke passed
qwen3vl_standardized_regex_v45_public,2026-08-15,working-tree,full_refit_frozen_v19_plus_v45_config,rule_tfidf,Qwen/Qwen3-VL-Embedding-2B,joint_last_token,v19_plus_standardized_head_plus_five_regex,english_reference_v2,frozen,public_macro_f1,0.814222,0.005329,official_runtime,~10.4GB,28MB,accepted; new best public-confirmed result 0.8142217630853994
multi_image_mean_v50,2026-08-15,working-tree,honest_outer_cv,Qwen/Qwen3-VL-Embedding-2B,Qwen/Qwen3-VL-Embedding-2B,joint_last_token_mean_pool,logit_blend,english_reference_v2,frozen,flammable_outer_f1,0.2412,-0.5345,~75m,4.7GB,,rejected; multi-image mean embeddings with LR hurt v45; additional images add noise not signal
vlm_binary_classifier_v51,2026-08-15,working-tree,stratified_sample_498,Qwen/Qwen3-VL-2B-Instruct,Qwen/Qwen3-VL-Embedding-2B,binary_logprob,standalone,flam_bad_prompt_v1,frozen,flammable_sample_f1,0.6324,-0.1433,~10m,4.7GB,,rejected; VLM binary classifier AP=0.49; hurts when stacked with v45 (-0.054 F1)
ocr_features_full_v52,2026-08-15,working-tree,honest_outer_cv,Qwen/Qwen3-VL-2B-Instruct,Qwen/Qwen3-VL-Embedding-2B,ocr_keyword_features,logit_blend,ocr_predeclared,frozen,flammable_outer_f1,0.6826,-0.0931,~60m,4.9GB,,rejected; OCR features from 12971 products; Strategy 2 LR delta=-0.210; all targeted boost configs 0 TP / 12-16 FP
ocr_targeted_boost_v53,2026-08-15,working-tree,honest_outer_cv,ocr_pyro,none,ocr_pyro_boost,predeclared_threshold,ocr_targeted,frozen,flammable_outer_f1,0.7737,-0.0020,fast,cpu,,"rejected; predeclared boost v45 in [0.15,0.50)+pyro; 0 TP 1 FP; no improvement over v45"
internvl35_classifier_v54,2026-08-15,working-tree,stratified_sample_498,OpenGVLab/InternVL3_5-2B,Qwen/Qwen3-VL-Embedding-2B,binary_logprob,standalone,prompt_v1,frozen,N/A,N/A,N/A,N/A,N/A,,blocked; InternVL3_5-2B incompatible with transformers 5.15.0; missing all_tied_weights_keys
